sidebar_color,COL_GROUP
C0DEED,BLUE
0,BLACK
FFFFFF,WHITE
EEEEEE,WHITE
181A1E,BLUE
A8C7F7,BLUE
5ED4DC,BLUE
65B0DA,BLUE
BDDCAD,GREEN
CC3366,RED
829D5E,GREEN
DFDFDF,WHITE
DBE9ED,BLUE
FFF8AD,YELLOW
D3D2CF,YELLOW
C6E2EE,BLUE
86A4A6,BLUE
D9B17E,YELLOW
F2E195,YELLOW
87BC44,GREEN
F0A830,YELLOW
2280A9,BLUE
30303,BLACK
999999,GRAY
ADF1FC,BLUE
80808,BLACK
7A5C45,ORANGE
0A0A0A,BLACK
50505,BLACK
C0DCF1,BLUE
89B5A2,CYAN
CCCCCC,GRAY
373737,GRAY
BCB302,YELLOW
BFBFBF,GRAY
4A66C1,BLUE
EEA525,YELLOW
515,BLUE
16818E,BLUE
8EAA45,GREEN
333333,GRAY
696969,GRAY
79B6E7,BLUE
141414,BLACK
FCF3B8,YELLOW
FFCE0A,YELLOW
212535,BLUE
80434B,RED
C8A867,YELLOW
00FF00,GREEN
FFB93C,YELLOW
2B1803,YELLOW
0A090A,VIOLET
D8D8D8,WHITE
AEF5FA,BLUE
948C75,YELLOW
FAFAFA,WHITE
70808,CYAN
BAB476,YELLOW
204207,GREEN
4878,BLUE
DEDEDE,WHITE
7F6262,RED
FF0000,RED
D5C788,YELLOW
CDCDCD,GRAY
D6DBAD,GREEN
280D0D,RED
CFBEB4,ORANGE
4198DB,BLUE
E59B38,YELLOW
D10707,RED
035FFF,BLUE
22261,BLUE
E5FFA6,GREEN
69E2E8,BLUE
F8F132,YELLOW
FCFBD2,YELLOW
344032,GREEN
F8C7DA,RED
64533E,YELLOW
827D82,VIOLET
6B0237,MAGENTA
A38CA3,VIOLET
F7F2F4,RED
487878,CYAN
151F24,BLUE
AD1F74,MAGENTA
FFDE00,YELLOW
0AB0F1,BLUE
12020F,MAGENTA
3FC5A4,CYAN
2E0C2E,VIOLET
3BE0F4,BLUE
0066FF,BLUE
8CBAE2,BLUE
08A7F7,BLUE
7C6A87,VIOLET
8BB65D,GREEN
6A6B69,GREEN
0E4766,BLUE
D6BD89,YELLOW
EB63EB,VIOLET
BA7474,RED
0D0C0C,RED
FAA005,YELLOW
F50C0C,RED
A310A3,VIOLET
FF0D3D,RED
6056,CYAN
F8545F,RED
FF08FF,VIOLET
B5B5B5,GRAY
292929,BLACK
4BB7DF,BLUE
A3A3A3,GRAY
DADADA,WHITE
131414,CYAN
42444E,BLUE
D179CB,MAGENTA
5C0F5C,VIOLET
E6D56A,YELLOW
ED2B45,RED
5C005C,VIOLET
1D1D1D,BLACK
FF5520,ORANGE
E83407,ORANGE
10508,BLUE
404040,GRAY
06191A,BLUE
0D0508,RED
F8858C,RED
10140E,GREEN
C6B193,YELLOW
5013C2,PURPLE
09EDC7,CYAN
E6E3E6,VIOLET
4B0202,RED
30405,BLUE
C2060C,RED
F5F0F5,VIOLET
12B2A6,CYAN
EDE8C4,YELLOW
6847,CYAN
0D0D09,YELLOW
210E2A,VIOLET
AAB1B5,BLUE
510094,VIOLET
334A70,BLUE
99E3F7,BLUE
142B45,BLUE
FFFAFA,RED
A7E74B,GREEN
463A4A,VIOLET
F00CF0,VIOLET
D1D1D1,WHITE
8B92C0,BLUE
1A1A1A,BLACK
F50A29,RED
545151,RED
D8C0A8,ORANGE
3965B8,BLUE
032B05,GREEN
454B52,BLUE
47002B,MAGENTA
CDC6B3,YELLOW
4D3445,MAGENTA
2AA14F,GREEN
BD8700,YELLOW
3D3D42,BLUE
C2C2C2,GRAY
8D9290,CYAN
E7796A,ORANGE
B8B8B8,GRAY
32436E,BLUE
EE3A45,RED
CAC8B1,YELLOW
DCE0E0,CYAN
1.10E+17,RED
38310B,YELLOW
F0E36E,YELLOW
DA65B7,MAGENTA
DBADAD,RED
8A0000,RED
FFBE3B,YELLOW
0B486B,BLUE
4456BC,BLUE
821608,ORANGE
CBCBA5,YELLOW
9A17EB,VIOLET
E7FF33,GREEN
1AAEED,BLUE
2665AD,BLUE
CBCBCB,GRAY
BDADDC,PURPLE
0C0F0A,GREEN
DCE4E0,GREEN
FF5703,ORANGE
0F0E0F,VIOLET
3E38F2,PURPLE
0055FF,BLUE
050C26,BLUE
FFBF00,YELLOW
0D0D0C,YELLOW
F0689E,RED
085AF2,BLUE
DAE5CD,GREEN
909090,GRAY
3FCDD9,BLUE
BA223B,RED
333B36,GREEN
B2B0BD,PURPLE
F7F7F7,WHITE
525557,BLUE
F27908,ORANGE
339103,GREEN
E81288,MAGENTA
0C0F0F,CYAN
294654,BLUE
001B5E,BLUE
797EB4,BLUE
C10020,RED
FCF17C,YELLOW
B86307,YELLOW
252429,PURPLE
CF4C28,ORANGE
656869,BLUE
3E0405,RED
870000,RED
0084B4,BLUE
464646,GRAY
28426E,BLUE
050F00,GREEN
8BA7C4,BLUE
EDF2F3,BLUE
F4F4F4,WHITE
84FF42,GREEN
2058B2,BLUE
DB5ECC,MAGENTA
ADB9DC,BLUE
1F5CD6,BLUE
0099FF,BLUE
FAF7FA,VIOLET
F0E661,YELLOW
3E3844,PURPLE
F51339,RED
9E139E,VIOLET
07117D,BLUE
D9DAE0,BLUE
AB964A,YELLOW
0D0014,VIOLET
E2EAEF,BLUE
CBF7C1,GREEN
DB0F6B,RED
F9FAFC,BLUE
935273,MAGENTA
E30D23,RED
DDDDDD,WHITE
2E3033,BLUE
76C8CF,BLUE
1F2403,GREEN
F51714,ORANGE
022C74,BLUE
69A555,GREEN
4C7AB4,BLUE
F29008,YELLOW
2A3A22,GREEN
003E6A,BLUE
F6F7E3,GREEN
E6056A,RED
0C0D0D,CYAN
9FE30D,GREEN
E408F0,VIOLET
5E639C,BLUE
7FBFC7,BLUE
853385,VIOLET
F4F623,GREEN
F08DF0,VIOLET
FFD8D6,ORANGE
15192A,BLUE
4D4A33,YELLOW
E84F3A,ORANGE
9C4B4C,RED
665C5C,RED
04131A,BLUE
FF0D00,ORANGE
264480,BLUE
FF00E1,MAGENTA
00090A,BLUE
892DD8,VIOLET
1A151A,VIOLET
17191A,BLUE
BF0606,RED
601B2F,RED
8CDE97,GREEN
8F0000,RED
FF5454,RED
241344,PURPLE
05D5FF,BLUE
1BDED4,CYAN
5314D7,PURPLE
1E1F1C,GREEN
1351CF,BLUE
161C1A,CYAN
50005,VIOLET
68FA04,GREEN
F0B00E,YELLOW
1C222B,BLUE
256169,BLUE
8F5353,RED
BDBAAE,YELLOW
C9B180,YELLOW
FCFCFC,WHITE
737373,GRAY
E8B5BD,RED
92AFB7,BLUE
EDE6FA,PURPLE
F5E7F5,VIOLET
F51313,RED
F2B56A,YELLOW
C4C4C4,GRAY
20455D,BLUE
7FBDCA,BLUE
FF4878,RED
ADA6A7,RED
08521D,GREEN
13F0F0,CYAN
FCF4F4,RED
329996,CYAN
FBFF00,GREEN
191A18,GREEN
570B0B,RED
6666,CYAN
4430,CYAN
56A0DE,BLUE
910510,RED
216587,BLUE
2C093C,VIOLET
D0F2DD,GREEN
8F6635,YELLOW
9E2828,RED
F8BB84,ORANGE
8CB2BD,BLUE
D95E5E,RED
7A7A7A,GRAY
800606,RED
C22525,RED
3624DE,PURPLE
DAF71E,GREEN
505,CYAN
6A6E75,BLUE
FEF9E6,YELLOW
D2DADA,CYAN
40505,CYAN
F74F60,RED
37AF3B,GREEN
DEDADE,VIOLET
635F53,YELLOW
57444D,RED
DBDBDB,WHITE
3366,BLUE
00FFFF,CYAN
C44D58,RED
142829,BLUE
F068C0,MAGENTA
5C0000,RED
363636,GRAY
898F68,GREEN
006AFF,BLUE
D58861,ORANGE
0A6E46,CYAN
F7B565,YELLOW
422702,YELLOW
070A09,CYAN
B1784B,ORANGE
FF9800,YELLOW
EB09E3,MAGENTA
50405,VIOLET
D49F0C,YELLOW
0A0909,RED
1E2020,CYAN
E8C40E,YELLOW
833409,ORANGE
412A32,RED
E3E3E3,WHITE
B4B070,YELLOW
F59733,YELLOW
FFA6A6,RED
80705,YELLOW
79D4BD,CYAN
F4F3F2,ORANGE
E60E18,RED
3C9434,GREEN
795C9C,PURPLE
6B2679,VIOLET
660000,RED
6CA63C,GREEN
E00000,RED
DCE2E4,BLUE
FF6A00,ORANGE
4C3E29,YELLOW
1848A8,BLUE
D11991,MAGENTA
323232,GRAY
B47741,ORANGE
097CE0,BLUE
5C5C5C,GRAY
305,BLUE
222222,BLACK
E5E6CA,GREEN
316932,GREEN
99B2B7,BLUE
DB9A0F,YELLOW
002D7A,BLUE
F6F3EA,YELLOW
FCD3BB,ORANGE
A8851C,YELLOW
EA03FF,VIOLET
6B2525,RED
9000FF,VIOLET
210B21,VIOLET
948858,YELLOW
242622,GREEN
E8E8E8,WHITE
F51182,MAGENTA
44EBA8,CYAN
A1A1A1,GRAY
5B3C19,YELLOW
398757,GREEN
0FBF9F,CYAN
181830,BLUE
53777A,BLUE
93BB4B,GREEN
B6AFA5,YELLOW
D51CFF,VIOLET
B124C7,VIOLET
FAD503,YELLOW
7E8CD2,BLUE
828282,GRAY
FF00FF,VIOLET
BD6738,ORANGE
101112,BLUE
8F1344,RED
FA84D5,MAGENTA
4808AE,PURPLE
A69B73,YELLOW
F8C0D5,RED
DE2C56,RED
F0F0F0,WHITE
186C90,BLUE
B503A9,MAGENTA
E3DB3F,YELLOW
A9CBF5,BLUE
F511B8,MAGENTA
DE741D,ORANGE
005A87,BLUE
171A1C,BLUE
D4D055,YELLOW
8BD5A1,GREEN
962121,RED
CCAF7B,YELLOW
9944FF,PURPLE
DE3E9E,MAGENTA
FE2048,RED
572A57,VIOLET
111212,CYAN
11F2CD,CYAN
B09797,RED
401A40,VIOLET
787878,GRAY
F0F1F5,BLUE
6D2446,RED
E62E0E,ORANGE
00A897,CYAN
FFF1E8,ORANGE
0A020A,VIOLET
FDF1E1,YELLOW
C0001D,RED
9B9BA3,BLUE
20500,GREEN
1D1E1F,BLUE
B46E62,ORANGE
F7F2F2,RED
EA3606,ORANGE
BEDFB6,GREEN
FAF5FA,VIOLET
FF9900,YELLOW
80000,RED
0FAFFF,BLUE
F55F08,ORANGE
BAB1BE,VIOLET
516C67,CYAN
202A2B,BLUE
AEB83D,GREEN
E0AC8A,ORANGE
B1C4E6,BLUE
513930,ORANGE
DB15D4,MAGENTA
73013C,MAGENTA
7C0404,RED
88B6B9,BLUE
674669,VIOLET
782B49,RED
9A65DA,PURPLE
252C09,GREEN
AC77C7,VIOLET
FF1919,RED
93F5C9,CYAN
0D0106,RED
0E7E7E,CYAN
97B8AB,CYAN
F8956C,ORANGE
457656,GREEN
501,GREEN
EBEBEB,WHITE
F8F8E0,YELLOW
D14B4B,RED
33CCFF,BLUE
E61224,RED
9B7CB6,VIOLET
1E3947,BLUE
00F2E6,CYAN
21EB89,CYAN
2E2D27,YELLOW
3E4AFF,BLUE
B3757F,RED
CCCECC,GREEN
FA0B03,ORANGE
20318,BLUE
DEF5FE,BLUE
E1F2FA,BLUE
F5E108,YELLOW
F0DFB8,YELLOW
140E0A,ORANGE
ADC6DB,BLUE
247B37,GREEN
EC5D94,RED
A0EEF5,BLUE
858585,GRAY
090A0A,CYAN
464244,MAGENTA
CE2929,RED
E82221,RED
520B0B,RED
92C7EA,BLUE
5EFF00,GREEN
0B0203,RED
EBAAAA,RED
7A4D1C,YELLOW
590025,RED
E6E6E6,WHITE
40405,BLUE
46373F,MAGENTA
A7737D,RED
B68B9E,RED
FFC0CB,RED
FFB6C1,RED
FF69B4,MAGENTA
FF1493,MAGENTA
DB7093,RED
C71585,MAGENTA
E6E6FA,BLUE
D8BFD8,VIOLET
DDA0DD,VIOLET
DA70D6,MAGENTA
EE82EE,VIOLET
BA55D3,VIOLET
9932CC,VIOLET
9400D3,VIOLET
8A2BE2,VIOLET
8B008B,VIOLET
800080,VIOLET
9370DB,PURPLE
7B68EE,PURPLE
6A5ACD,PURPLE
483D8B,PURPLE
663399,PURPLE
4B0082,VIOLET
FFA07A,ORANGE
FA8072,ORANGE
E9967A,ORANGE
F08080,RED
CD5C5C,RED
DC143C,RED
B22222,RED
8B0000,RED
FFA500,YELLOW
FF8C00,YELLOW
FF7F50,ORANGE
FF6347,ORANGE
FF4500,ORANGE
FFD700,YELLOW
FFFF00,YELLOW
FFFFE0,YELLOW
FFFACD,YELLOW
FAFAD2,YELLOW
FFEFD5,YELLOW
FFE4B5,YELLOW
FFDAB9,ORANGE
EEE8AA,YELLOW
F0E68C,YELLOW
BDB76B,YELLOW
ADFF2F,GREEN
7FFF00,GREEN
7CFC00,GREEN
32CD32,GREEN
98FB98,GREEN
90EE90,GREEN
00FA9A,CYAN
00FF7F,GREEN
3CB371,GREEN
2E8B57,GREEN
228B22,GREEN
8000,GREEN
6400,GREEN
9ACD32,GREEN
6B8E23,GREEN
556B2F,GREEN
66CDAA,CYAN
8FBC8F,GREEN
20B2AA,CYAN
008B8B,CYAN
8080,CYAN
E0FFFF,CYAN
AFEEEE,CYAN
7FFFD4,CYAN
40E0D0,CYAN
48D1CC,CYAN
00CED1,BLUE
5F9EA0,BLUE
4682B4,BLUE
B0C4DE,BLUE
ADD8E6,BLUE
B0E0E6,BLUE
87CEFA,BLUE
87CEEB,BLUE
6495ED,BLUE
00BFFF,BLUE
1E90FF,BLUE
41690,BLUE
0000FF,BLUE
0000CD,BLUE
00008B,BLUE
80,BLUE
191970,BLUE
FFF8DC,YELLOW
FFEBCD,YELLOW
FFE4C4,YELLOW
FFDEAD,YELLOW
F5DEB3,YELLOW
DEB887,YELLOW
D2B48C,YELLOW
BC8F8F,RED
F4A460,ORANGE
DAA520,YELLOW
B8860B,YELLOW
CD853F,ORANGE
D2691E,ORANGE
808000,YELLOW
8B4513,ORANGE
A0522D,ORANGE
A52A2A,RED
800000,RED
F0FFF0,GREEN
F5FFFA,GREEN
F0FFFF,CYAN
F0F8FF,BLUE
F8F8FF,BLUE
F5F5F5,WHITE
FFF5EE,ORANGE
F5F5DC,YELLOW
FDF5E6,YELLOW
FFFAF0,YELLOW
FFFFF0,YELLOW
FAEBD7,YELLOW
FAF0E6,ORANGE
FFF0F5,RED
FFE4E1,ORANGE
DCDCDC,WHITE
D3D3D3,WHITE
C0C0C0,GRAY
A9A9A9,GRAY
808080,GRAY
778899,BLUE
708090,BLUE
2F4F4F,CYAN
